"","date","maxtempC","mintempC","totalSnow_cm","sunHour","uvIndex","moon_illumination","DewPointC","FeelsLikeC","HeatIndexC","WindChillC","WindGustKmph","cloudcover","humidity","precipMM","pressure","tempC","visibility","winddirDegree","windspeedKmph","AQI","AQI_Explained","date_time","moonrise","moonset","sunrise","sunset","location"
"34","2014-02-03",10,4,0,4.1,2,21,4,4,8,4,32,83,78,0.1,1018,10,10,29,23,389,"Hazardous","2014-02-03","08:45 AM","09:24 PM","06:45 AM","05:32 PM","shanghai"
"35","2014-02-04",6,3,0,8.7,2,29,-4,0,4,0,26,31,55,0,1027,6,10,36,20,303,"Hazardous","2014-02-04","09:25 AM","10:25 PM","06:45 AM","05:32 PM","shanghai"
"36","2014-02-05",6,4,0,4.1,2,36,3,2,6,2,30,94,80,1.2,1023,6,9,88,20,150,"Unhealthy for sensitive groups","2014-02-05","10:04 AM","11:25 PM","06:44 AM","05:33 PM","shanghai"
"37","2014-02-06",9,8,0,4.1,2,44,8,6,9,6,28,100,94,5.7,1018,9,7,54,19,125,"Unhealthy for sensitive groups","2014-02-06","10:44 AM","No moonset","06:43 AM","05:34 PM","shanghai"
"38","2014-02-07",7,3,0,4.1,2,51,4,2,6,2,33,100,89,0.9,1018,7,8,145,23,138,"Unhealthy for sensitive groups","2014-02-07","11:26 AM","12:22 AM","06:42 AM","05:35 PM","shanghai"
"39","2014-02-08",6,1,0,5.6,1,59,-1,-1,3,-1,26,65,76,0,1022,6,10,336,19,150,"Unhealthy for sensitive groups","2014-02-08","12:09 PM","01:17 AM","06:42 AM","05:36 PM","shanghai"
"40","2014-02-09",3,0,0.3,4.1,1,66,-2,-3,2,-3,35,89,75,0.5,1026,3,8,219,25,301,"Hazardous","2014-02-09","12:56 PM","02:09 AM","06:41 AM","05:37 PM","shanghai"
"41","2014-02-10",3,-1,0.1,8.7,1,74,-5,-5,0,-5,34,55,66,0.2,1029,3,9,337,25,305,"Hazardous","2014-02-10","01:44 PM","02:59 AM","06:40 AM","05:38 PM","shanghai"
"42","2014-02-11",5,-2,0,7.2,1,81,-5,-4,1,-4,28,58,66,0,1027,5,10,333,21,217,"Very unhealthy","2014-02-11","02:34 PM","03:45 AM","06:39 AM","05:38 PM","shanghai"
"43","2014-02-12",6,1,0,4.1,1,89,1,0,4,0,30,95,79,0.9,1027,6,7,147,21,270,"Very unhealthy","2014-02-12","03:26 PM","04:27 AM","06:38 AM","05:39 PM","shanghai"
"44","2014-02-13",7,4,0,4.1,2,97,1,1,5,1,28,83,74,0.4,1029,7,9,139,20,207,"Very unhealthy","2014-02-13","04:18 PM","05:08 AM","06:37 AM","05:40 PM","shanghai"
"45","2014-02-14",8,2,0,7.2,2,100,-1,2,5,2,23,45,67,0,1028,8,10,218,17,180,"Unhealthy","2014-02-14","05:11 PM","05:45 AM","06:37 AM","05:41 PM","shanghai"
"46","2014-02-15",9,0,0,8.7,3,88,0,4,6,4,14,23,65,0,1027,9,10,64,10,273,"Very unhealthy","2014-02-15","06:04 PM","06:20 AM","06:36 AM","05:42 PM","shanghai"
"47","2014-02-16",8,5,0,4.2,2,81,6,5,8,5,24,76,88,2.3,1023,8,10,107,16,180,"Unhealthy","2014-02-16","06:58 PM","06:54 AM","06:35 AM","05:43 PM","shanghai"
"48","2014-02-17",9,6,0,4.2,2,73,7,5,8,5,30,90,93,0,1021,9,10,231,20,153,"Unhealthy","2014-02-17","07:52 PM","07:28 AM","06:34 AM","05:43 PM","shanghai"
"49","2014-02-18",4,2,0,4.2,1,66,4,0,4,0,32,100,97,3.1,1024,4,9,182,20,217,"Very unhealthy","2014-02-18","08:47 PM","08:01 AM","06:33 AM","05:44 PM","shanghai"
"50","2014-02-19",6,1,0,4.2,1,58,1,-1,3,-1,27,76,83,0.7,1027,6,8,315,19,188,"Unhealthy","2014-02-19","09:43 PM","08:36 AM","06:32 AM","05:45 PM","shanghai"
"51","2014-02-20",9,1,0,7.2,2,51,1,4,6,4,17,15,72,0,1031,9,10,226,13,311,"Hazardous","2014-02-20","10:40 PM","09:14 AM","06:31 AM","05:46 PM","shanghai"
"52","2014-02-21",9,2,0,8.7,3,43,1,5,7,5,15,11,67,0,1031,9,10,104,11,349,"Hazardous","2014-02-21","11:39 PM","09:54 AM","06:30 AM","05:47 PM","shanghai"
"53","2014-02-22",10,4,0,7.2,2,36,3,4,7,4,22,44,75,0,1029,10,10,109,15,330,"Hazardous","2014-02-22","No moonrise","10:39 AM","06:29 AM","05:47 PM","shanghai"
"54","2014-02-23",12,5,0,8.7,3,28,5,7,9,7,18,13,77,0,1029,12,10,91,13,316,"Hazardous","2014-02-23","12:39 AM","11:30 AM","06:28 AM","05:48 PM","shanghai"
"55","2014-02-24",11,6,0,4.2,2,20,7,7,9,7,23,87,85,2.5,1026,11,9,108,15,333,"Hazardous","2014-02-24","01:39 AM","12:26 PM","06:27 AM","05:49 PM","shanghai"
"56","2014-02-25",10,9,0,4.2,2,13,9,7,10,7,32,100,97,4.5,1021,10,10,80,20,328,"Hazardous","2014-02-25","02:36 AM","01:27 PM","06:26 AM","05:50 PM","shanghai"
"57","2014-02-26",11,8,0,4.2,2,5,9,8,10,8,20,91,94,0.2,1022,11,6,342,14,162,"Unhealthy","2014-02-26","03:31 AM","02:32 PM","06:25 AM","05:50 PM","shanghai"
"58","2014-02-27",14,7,0,5.7,3,0,9,10,11,10,10,62,86,0.2,1024,14,7,180,7,290,"Very unhealthy","2014-02-27","04:22 AM","03:40 PM","06:24 AM","05:51 PM","shanghai"
"59","2014-02-28",9,7,0,4.2,2,0,7,7,9,7,20,85,91,0,1021,9,10,72,14,335,"Hazardous","2014-02-28","05:10 AM","04:48 PM","06:22 AM","05:52 PM","shanghai"
"60","2014-03-01",8,5,0,4.2,2,0,5,4,7,4,24,88,88,5.6,1021,8,9,147,17,330,"Hazardous","2014-03-01","05:54 AM","05:56 PM","06:21 AM","05:53 PM","shanghai"
"61","2014-03-02",11,4,0,7.2,2,2,2,5,7,5,22,45,71,0,1024,11,10,151,16,193,"Unhealthy","2014-03-02","06:35 AM","07:02 PM","06:20 AM","05:53 PM","shanghai"
"62","2014-03-03",12,6,0,8.7,3,9,4,7,9,7,26,36,69,0.3,1024,12,9,71,18,311,"Hazardous","2014-03-03","07:17 AM","08:06 PM","06:19 AM","05:54 PM","shanghai"
"63","2014-03-04",11,7,0,4.3,2,16,8,8,9,8,16,84,91,1.2,1022,11,9,141,11,233,"Very unhealthy","2014-03-04","07:57 AM","09:09 PM","06:18 AM","05:55 PM","shanghai"
"64","2014-03-05",10,4,0,8.7,3,24,2,5,7,5,24,18,71,0,1027,10,10,116,17,167,"Unhealthy","2014-03-05","08:38 AM","10:09 PM","06:17 AM","05:55 PM","shanghai"
"65","2014-03-06",7,3,0,4.3,2,31,0,3,6,3,19,58,67,0.2,1029,7,10,61,14,257,"Very unhealthy","2014-03-06","09:21 AM","11:07 PM","06:16 AM","05:56 PM","shanghai"
"66","2014-03-07",10,3,0,7.2,2,38,0,4,7,4,21,32,63,0,1030,10,10,74,15,143,"Unhealthy for sensitive groups","2014-03-07","10:05 AM","No moonset","06:15 AM","05:57 PM","shanghai"
"67","2014-03-08",7,2,0,4.3,2,46,2,4,6,4,15,82,79,1.8,1026,7,9,120,10,163,"Unhealthy","2014-03-08","10:51 AM","12:01 AM","06:13 AM","05:58 PM","shanghai"
"68","2014-03-09",13,2,0,8.7,3,53,5,9,10,9,10,4,73,0,1027,13,10,251,7,283,"Very unhealthy","2014-03-09","11:39 AM","12:52 AM","06:12 AM","05:58 PM","shanghai"
"69","2014-03-10",13,2,0,5.8,3,60,6,8,10,8,15,28,78,0,1028,13,10,141,10,327,"Hazardous","2014-03-10","12:28 PM","01:40 AM","06:11 AM","05:59 PM","shanghai"
"70","2014-03-11",14,7,0,11.6,4,67,7,8,11,8,35,10,78,0,1023,14,10,147,24,353,"Hazardous","2014-03-11","01:20 PM","02:24 AM","06:10 AM","06:00 PM","shanghai"
"71","2014-03-12",15,7,0,6,3,75,11,10,12,10,28,89,94,7.2,1015,15,10,256,18,306,"Hazardous","2014-03-12","02:12 PM","03:05 AM","06:09 AM","06:00 PM","shanghai"
"72","2014-03-13",11,3,0,11.6,3,82,1,4,7,4,27,24,64,0,1023,11,10,328,20,207,"Very unhealthy","2014-03-13","03:04 PM","03:44 AM","06:07 AM","06:01 PM","shanghai"
"73","2014-03-14",14,3,0,11.6,4,89,2,8,10,8,21,9,56,0,1025,14,10,241,14,250,"Very unhealthy","2014-03-14","03:57 PM","04:19 AM","06:06 AM","06:02 PM","shanghai"
"74","2014-03-15",18,6,0,11.6,4,96,5,12,13,12,23,10,60,0,1022,18,10,184,15,328,"Hazardous","2014-03-15","04:51 PM","04:54 AM","06:05 AM","06:02 PM","shanghai"
"75","2014-03-16",19,9,0,11.6,5,100,10,15,16,15,25,7,73,0,1020,19,10,167,15,328,"Hazardous","2014-03-16","05:45 PM","05:28 AM","06:04 AM","06:03 PM","shanghai"
"76","2014-03-17",24,13,0,11.6,4,89,14,18,19,18,19,41,77,0.7,1016,24,10,190,12,321,"Hazardous","2014-03-17","06:40 PM","06:02 AM","06:03 AM","06:03 PM","shanghai"
"77","2014-03-18",24,10,0,11.6,5,82,15,19,20,19,13,0,75,0,1016,24,10,108,10,327,"Hazardous","2014-03-18","07:37 PM","06:37 AM","06:01 AM","06:04 PM","shanghai"
"78","2014-03-19",13,8,0,7.5,3,74,9,9,11,9,24,81,87,0.9,1016,13,10,140,17,348,"Hazardous","2014-03-19","08:35 PM","07:15 AM","06:00 AM","06:05 PM","shanghai"
"79","2014-03-20",13,6,0,11.8,3,67,2,6,9,6,28,46,62,0.1,1024,13,10,300,20,328,"Hazardous","2014-03-20","09:34 PM","07:55 AM","05:59 AM","06:05 PM","shanghai"
"80","2014-03-21",14,3,0,12.5,4,60,1,9,10,9,17,3,53,0,1027,14,10,174,13,318,"Hazardous","2014-03-21","10:33 PM","08:38 AM","05:58 AM","06:06 PM","shanghai"
"81","2014-03-22",15,5,0,12.5,4,53,4,10,12,10,23,5,60,0,1025,15,10,158,16,187,"Unhealthy","2014-03-22","11:33 PM","09:27 AM","05:56 AM","06:07 PM","shanghai"
"82","2014-03-23",15,7,0,12.5,4,45,7,9,11,9,32,22,77,0,1026,15,10,141,21,290,"Very unhealthy","2014-03-23","No moonrise","10:20 AM","05:55 AM","06:07 PM","shanghai"
"83","2014-03-24",13,9,0,11.8,4,38,9,10,12,10,28,53,84,0,1022,13,10,176,19,210,"Very unhealthy","2014-03-24","12:29 AM","11:19 AM","05:54 AM","06:08 PM","shanghai"
"84","2014-03-25",14,6,0,11.8,3,31,4,9,11,9,19,49,66,0,1025,14,10,180,13,237,"Very unhealthy","2014-03-25","01:24 AM","12:20 PM","05:53 AM","06:09 PM","shanghai"
"85","2014-03-26",15,6,0,11.8,3,24,5,10,12,10,19,52,67,0.5,1024,15,10,162,13,315,"Hazardous","2014-03-26","02:14 AM","01:25 PM","05:52 AM","06:09 PM","shanghai"
"86","2014-03-27",17,9,0,12.6,4,16,11,12,14,12,28,31,83,0.6,1018,17,10,132,19,333,"Hazardous","2014-03-27","03:01 AM","02:30 PM","05:50 AM","06:10 PM","shanghai"
"87","2014-03-28",18,12,0,9.2,4,9,14,15,15,15,32,74,90,1.5,1011,18,8,149,20,277,"Very unhealthy","2014-03-28","03:46 AM","03:36 PM","05:49 AM","06:11 PM","shanghai"
"88","2014-03-29",20,14,0,9.2,4,2,16,17,17,17,18,72,93,2.6,1008,20,6,206,12,267,"Very unhealthy","2014-03-29","04:27 AM","04:41 PM","05:48 AM","06:11 PM","shanghai"
"89","2014-03-30",20,10,0,12.7,5,0,10,14,15,14,19,20,76,0,1016,20,10,187,13,338,"Hazardous","2014-03-30","05:08 AM","05:46 PM","05:47 AM","06:12 PM","shanghai"
"90","2014-03-31",15,10,0,12.7,3,0,7,12,13,12,17,41,70,0,1016,15,10,97,12,318,"Hazardous","2014-03-31","05:49 AM","06:49 PM","05:45 AM","06:12 PM","shanghai"
"91","2014-04-01",17,11,0,11.9,3,5,10,14,14,14,11,50,77,0,1016,17,10,90,8,305,"Hazardous","2014-04-01","06:29 AM","07:51 PM","05:44 AM","06:13 PM","shanghai"
"92","2014-04-02",18,10,0,10.6,4,13,11,14,14,14,15,55,81,0.2,1016,18,10,86,11,304,"Hazardous","2014-04-02","07:12 AM","08:51 PM","05:43 AM","06:14 PM","shanghai"
"93","2014-04-03",19,9,0,12.7,4,21,10,13,14,13,17,44,77,0.6,1017,19,9,40,12,308,"Hazardous","2014-04-03","07:56 AM","09:49 PM","05:42 AM","06:14 PM","shanghai"
"94","2014-04-04",19,6,0,12.7,4,28,5,14,15,14,14,2,54,0,1019,19,10,222,10,293,"Very unhealthy","2014-04-04","08:42 AM","10:42 PM","05:41 AM","06:15 PM","shanghai"
"95","2014-04-05",20,7,0,12.8,4,36,5,12,13,12,21,10,58,0,1020,20,10,141,15,308,"Hazardous","2014-04-05","09:31 AM","11:33 PM","05:39 AM","06:16 PM","shanghai"
"96","2014-04-06",15,4,0,12.8,3,43,2,9,11,9,19,42,56,0,1025,15,10,97,14,133,"Unhealthy for sensitive groups","2014-04-06","10:20 AM","No moonset","05:38 AM","06:16 PM","shanghai"
"97","2014-04-07",17,10,0,12.8,4,51,9,12,13,12,24,49,77,0.9,1019,17,10,155,17,237,"Very unhealthy","2014-04-07","11:12 AM","12:19 AM","05:37 AM","06:17 PM","shanghai"
"98","2014-04-08",20,12,0,12.8,4,58,13,15,15,15,11,57,86,0.1,1017,20,8,92,7,319,"Hazardous","2014-04-08","12:03 PM","01:01 AM","05:36 AM","06:18 PM","shanghai"
"99","2014-04-09",20,11,0,12.8,4,66,13,16,16,16,13,34,86,0,1017,20,7,124,10,326,"Hazardous","2014-04-09","12:56 PM","01:41 AM","05:34 AM","06:18 PM","shanghai"
"100","2014-04-10",22,11,0,12.9,4,73,12,17,18,17,20,23,73,0,1018,22,9,129,13,318,"Hazardous","2014-04-10","01:49 PM","02:17 AM","05:33 AM","06:19 PM","shanghai"
"101","2014-04-11",19,12,0,12.9,4,81,11,14,15,14,26,53,79,0,1015,19,10,126,17,312,"Hazardous","2014-04-11","02:41 PM","02:52 AM","05:32 AM","06:19 PM","shanghai"
"102","2014-04-12",19,14,0,9.3,4,89,15,16,16,16,23,84,93,3.3,1011,19,9,222,15,300,"Very unhealthy","2014-04-12","03:36 PM","03:27 AM","05:31 AM","06:20 PM","shanghai"
"103","2014-04-13",15,10,0,9.4,3,96,12,13,14,13,20,71,90,0.2,1017,15,9,221,14,287,"Very unhealthy","2014-04-13","04:30 PM","04:01 AM","05:30 AM","06:21 PM","shanghai"
"104","2014-04-14",20,9,0,12.9,5,100,13,17,18,17,12,1,77,0,1021,20,9,69,9,325,"Hazardous","2014-04-14","05:27 PM","04:35 AM","05:29 AM","06:21 PM","shanghai"
"105","2014-04-15",19,10,0,13,5,89,10,15,15,15,27,9,71,0,1019,19,10,126,20,297,"Very unhealthy","2014-04-15","06:25 PM","05:12 AM","05:27 AM","06:22 PM","shanghai"
"106","2014-04-16",18,14,0,8.1,4,81,14,15,16,15,20,84,89,0.9,1012,18,10,201,13,263,"Very unhealthy","2014-04-16","07:25 PM","05:52 AM","05:26 AM","06:23 PM","shanghai"
"107","2014-04-17",24,13,0,10.7,5,74,16,19,20,19,11,55,83,0.6,1010,24,10,206,7,354,"Hazardous","2014-04-17","08:26 PM","06:35 AM","05:25 AM","06:23 PM","shanghai"
"108","2014-04-18",18,12,0,10.7,4,66,13,15,15,15,15,75,86,0,1016,18,7,40,11,315,"Hazardous","2014-04-18","09:27 PM","07:24 AM","05:24 AM","06:24 PM","shanghai"
"109","2014-04-19",15,12,0,8.1,3,59,13,13,14,13,21,91,94,0,1015,15,8,77,14,170,"Unhealthy","2014-04-19","10:25 PM","08:16 AM","05:23 AM","06:25 PM","shanghai"
"110","2014-04-20",17,11,0,9.4,4,51,12,14,14,14,15,75,86,0.1,1017,17,8,43,11,257,"Very unhealthy","2014-04-20","11:21 PM","09:14 AM","05:22 AM","06:25 PM","shanghai"
"111","2014-04-21",16,10,0,8.2,3,44,11,13,13,13,15,85,85,1.7,1017,16,8,72,11,302,"Hazardous","2014-04-21","No moonrise","10:14 AM","05:21 AM","06:26 PM","shanghai"
"112","2014-04-22",20,10,0,12,4,36,11,14,15,14,14,54,80,0.6,1018,20,9,147,10,310,"Hazardous","2014-04-22","12:12 AM","11:18 AM","05:20 AM","06:27 PM","shanghai"
"113","2014-04-23",19,8,0,13.1,5,28,8,15,15,15,16,25,65,0,1018,19,10,123,11,314,"Hazardous","2014-04-23","12:59 AM","12:21 PM","05:19 AM","06:27 PM","shanghai"
"114","2014-04-24",20,12,0,10.7,4,21,13,16,17,16,26,52,82,0.4,1017,20,9,123,18,309,"Hazardous","2014-04-24","01:43 AM","01:25 PM","05:18 AM","06:28 PM","shanghai"
"115","2014-04-25",20,15,0,13.1,4,13,14,17,17,17,34,50,83,0,1018,20,10,125,23,197,"Unhealthy","2014-04-25","02:24 AM","02:28 PM","05:17 AM","06:29 PM","shanghai"
"116","2014-04-26",17,16,0,8.2,4,6,16,16,16,16,32,99,97,1,1016,17,9,135,20,175,"Unhealthy","2014-04-26","03:04 AM","03:32 PM","05:16 AM","06:29 PM","shanghai"
"117","2014-04-27",20,15,0,9.5,4,0,16,17,17,17,24,77,90,0.3,1014,20,7,272,16,301,"Hazardous","2014-04-27","03:44 AM","04:34 PM","05:15 AM","06:30 PM","shanghai"
"118","2014-04-28",18,13,0,10.7,4,0,13,15,16,15,29,49,84,0,1016,18,8,310,20,310,"Hazardous","2014-04-28","04:23 AM","05:36 PM","05:14 AM","06:31 PM","shanghai"
"119","2014-04-29",23,12,0,13.2,5,0,12,18,19,18,17,11,72,0.1,1015,23,10,244,13,325,"Hazardous","2014-04-29","05:05 AM","06:36 PM","05:13 AM","06:31 PM","shanghai"
"120","2014-04-30",23,9,0,13.2,5,1,12,18,18,18,15,6,71,0,1014,23,8,173,9,323,"Hazardous","2014-04-30","05:48 AM","07:35 PM","05:12 AM","06:32 PM","shanghai"
"121","2014-05-01",26,14,0,13.2,6,9,14,22,22,21,18,8,67,0,1014,26,10,177,12,336,"Hazardous","2014-05-01","06:33 AM","08:30 PM","05:11 AM","06:33 PM","shanghai"
"122","2014-05-02",30,16,0,13.2,6,16,14,24,24,23,20,13,57,0,1017,30,10,198,14,332,"Hazardous","2014-05-02","07:21 AM","09:23 PM","05:10 AM","06:33 PM","shanghai"
"123","2014-05-03",18,14,0,13.3,4,23,10,16,16,16,21,45,66,0.2,1021,18,9,93,15,263,"Very unhealthy","2014-05-03","08:11 AM","10:11 PM","05:09 AM","06:34 PM","shanghai"
"124","2014-05-04",19,13,0,10.8,4,31,13,16,16,16,17,67,81,4.4,1017,19,9,210,11,305,"Hazardous","2014-05-04","09:02 AM","10:56 PM","05:08 AM","06:35 PM","shanghai"
"125","2014-05-05",19,11,0,13.3,4,38,4,15,15,15,19,38,49,0,1022,19,10,74,13,220,"Very unhealthy","2014-05-05","09:54 AM","11:37 PM","05:07 AM","06:35 PM","shanghai"
"126","2014-05-06",20,10,0,13.3,5,45,6,16,16,16,23,6,52,0,1020,20,10,144,16,250,"Very unhealthy","2014-05-06","10:46 AM","No moonset","05:06 AM","06:36 PM","shanghai"
"127","2014-05-07",24,14,0,10.8,5,52,13,19,20,19,24,41,69,0,1012,24,10,169,17,297,"Very unhealthy","2014-05-07","11:39 AM","12:15 AM","05:05 AM","06:37 PM","shanghai"
"128","2014-05-08",25,15,0,12,5,60,14,21,22,21,18,36,65,0,1014,25,10,156,13,327,"Hazardous","2014-05-08","12:31 PM","12:50 AM","05:05 AM","06:38 PM","shanghai"
"129","2014-05-09",20,14,0,13.3,5,67,11,17,17,17,23,48,68,0.1,1015,20,10,113,17,308,"Hazardous","2014-05-09","01:25 PM","01:25 AM","05:04 AM","06:38 PM","shanghai"
"130","2014-05-10",19,16,0,8.4,4,74,17,18,18,18,36,98,92,0.6,1012,19,9,121,23,302,"Hazardous","2014-05-10","02:18 PM","01:58 AM","05:03 AM","06:39 PM","shanghai"
"131","2014-05-11",23,17,0,8.4,5,81,18,20,20,20,29,85,88,2,1007,23,9,223,19,237,"Very unhealthy","2014-05-11","03:14 PM","02:32 AM","05:02 AM","06:40 PM","shanghai"
"132","2014-05-12",25,15,0,12,5,89,13,21,21,21,15,36,63,0,1012,25,10,219,10,335,"Hazardous","2014-05-12","04:11 PM","03:08 AM","05:01 AM","06:40 PM","shanghai"
"133","2014-05-13",23,16,0,13.3,5,96,13,20,20,20,25,50,68,4.4,1008,23,10,150,18,319,"Hazardous","2014-05-13","05:11 PM","03:46 AM","05:01 AM","06:41 PM","shanghai"
